id,nombre,nombre_norm,actividad,direccion,telefono,email,sitio_web,instagram,facebook,linkedin,logo_url,logo_origen,contacto_nombre,descripcion,ubicacion,cuit
87,3A S.R.L.,3a,Construcción Civil. Tratamientos anticorrosivos. Metalúrgica.,Adolofo Güemes 1032 (4400) Salta,(0387) 2430388 / 155 067 733,info@3aconstructora.com.ar,https://www.3aconstructora.com.ar/,https://www.instagram.com/3aconstructora/,https://www.facebook.com/3aconstructora,https://www.linkedin.com/company/3a-constructora/,https://capemisa.com.ar/wp-content/uploads/2024/11/3A-1.jpg,camara,Agustín Andreussi,,,
56,4INSTAL S.A.S.,4instal,Servicio de telecomunicaciones.,Virgilio Tedin 124 (4400) Salta,(0387) 224 1251,vsanchez@vidamovil.com.ar,,,,,https://capemisa.com.ar/wp-content/uploads/2023/06/4-install-vm-3.jpeg,camara,Veronica Sanchez,,,
255,9AMAS,9amas,Servicio de capacitación y entrenamiento en emergencias,"Cerro San Martin 250, San Luis, Salta",(0387) 155 328 309,sguaymas@9amas.com / mromeroandersson@9amas.com,https://9amas.com/,https://www.instagram.com/9amas,https://www.facebook.com/9amas/,,https://capemisa.com.ar/wp-content/uploads/2025/12/9Amas.png,camara,Sandra Guaymás / Marcelo Gustavo Romero,,,
170,A & A FLUIDS CONTROL S.R.L.,a a fluids control,"Venta y distribución de productos, materiales e insumos destinados a todas las industrias que trabajen con conducción de fluidos con presión y temperatura. PIPING.",Dr. Eduardo Wilde 365 (4400) Salta,(0387) 154 584 402 / (03873) 156 44 960,aafluidscontrolsrl@gmail.com,https://aafluidscontrolsrl.wixsite.com/website,,https://www.facebook.com/wix,https://www.linkedin.com/company/wix-com,https://capemisa.com.ar/wp-content/uploads/2021/08/a_a_fluids_control.jpg,camara,Gustavo Abraham / Enrique Angel,,,
171,A B CONSTRUCCIONES S.R.L.,a b construcciones,Venta de materiales para la construcción. Elaboración de hormigón,Av. Independencia 698 Salta,(0387) 4232233,gerenciasalta@corralonelmercado.com,https://corralonelmercado.com.ar/,https://www.instagram.com/corralonelmercado,https://www.facebook.com/corralonelmercadook,,https://capemisa.com.ar/wp-content/uploads/2021/11/logo-1.png,camara,Hugo Alexander,,,
147,ABENGU S.A.S.,abengu,Alquiler de Equipos. Obras de ingeniería civil y/o industrial. Servicios de reparaciones o de mantenimientos integrales de obras. Montajes mecánicos y eléctricos.,Mitre 1048 4°F (4400) Salta,(0387) 155 271 251,abengusas@gmail.com,,,,,https://capemisa.com.ar/wp-content/uploads/2023/05/abengus-1024x1024.png,camara,Carolina A. Storniolo,,,
1,Abra Silver – Proyecto Diablillos,abra silver proyecto diablillos,Exploración — Mineral: Plata — Fase: Exploración Profunda,,,,,,,,https://cmsalta.com.ar/wp-content/uploads/2022/05/abrasilver-e1653528306507.jpeg,camara,,,Diablillos,
256,ACCLIMATARE S.R.L.,acclimatare,Obras termo mecánicas,Miguel Ragone 795 (4400) Salta,(0387) 4270182,jsegura@acclimatare.com.ar,http://www.acclimatare.com/,,,,https://capemisa.com.ar/wp-content/uploads/2021/08/acclimatare.jpg,camara,Julián Segura,,,
257,AD-ARGIA S.R.L.,ad argia,Servicios de explotación de infraestructura para el transporte aéreo,Pellegrini 699 Salta,(0387) 155 825 318,srios@ad-argia.com.ar,https://ad-argia.com.ar/,,,,https://capemisa.com.ar/wp-content/uploads/2025/01/ad-argia.jpeg,camara,Samanta Rios,,,
148,AF INGENIERIA S.R.L.,af ingenieria,Servicios y obras de ingeniería. Provisión de materiales eléctricos,"Alvarado 2019, Salta",(0387) 4220634 / 4212148 / 4315733,ingenieria@af-ingenieria.com.ar,https://afingenieria.com.ar/,https://www.instagram.com/afingenieria/,,,https://capemisa.com.ar/wp-content/uploads/2025/01/WhatsApp-Image-2025-02-12-at-4.58.11-PM.jpeg,camara,,,,
149,AGI CONSTRUCCIONES S.R.L.,agi construcciones,Ingeniería Civil. Fabricación de productos minerales no metálicos,"Av. Rodríguez Durañona 1050, Salta",(0388) 156 869 990,jalexander@corralonelmercado.com,,,,,https://capemisa.com.ar/wp-content/uploads/2025/01/LogoCapemisa.jpg,placeholder,Juan Alexander,,,
258,AGRO MIX S.R.L.,agro mix,Alquiler de maquinas viales. Alquiler de galpones para depósitos y taller,25 de Mayo 601 PB Salta,(0387) 154 426 935,agromixsrl@hotmail.com,,,,,https://capemisa.com.ar/wp-content/uploads/2021/11/logo-1.png,camara,Juan Martin Costa,,,
362,Agro San Pedro (Dulces Campo Quijano),agro san pedro dulces campo quijano,,,,,,,,,https://uis.com.ar/storage/2026/02/dulces-campo-quijano.webp,camara,,,,
