empresa_id,camara,rubro,url_ficha
1,CMS,Minería,https://cmsalta.com.ar/asociados/abra-silver-proyecto-diablillos/
2,CMS,Minería,https://cmsalta.com.ar/asociados/agv-group/
2,CAPEMISA,Construcción,https://capemisa.com.ar/socio/agv-servicios-mineros-srl/
2,CAPEMISA,Equipamiento,https://capemisa.com.ar/socio/agv-maquinas-srl/
2,CAPEMISA,Logística,https://capemisa.com.ar/socio/agv-servicios-mineros-srl/
3,CMS,Minería,https://cmsalta.com.ar/asociados/aldebaran-resources-inc/
4,CMS,Minería,https://cmsalta.com.ar/asociados/alpha-lithium-proyecto-tolillar/
5,CMS,Minería,https://cmsalta.com.ar/asociados/argentum-lithium-s-a-2/
6,CMS,Minería,https://cmsalta.com.ar/asociados/borax-argentina-yacimiento-tincalayu/
7,CMS,Minería,https://cmsalta.com.ar/asociados/corriente-argentina-s-a-proyecto-taca-taca/
8,CMS,Minería,https://cmsalta.com.ar/asociados/eramine-sudamerica-sa/
9,CMS,Minería,https://cmsalta.com.ar/asociados/foraco-salta-s-a/
10,CMS,Minería,https://cmsalta.com.ar/asociados/ganfeng-lithium-proyecto-mariana/
11,CMS,Minería,https://cmsalta.com.ar/asociados/gestion-de-talentos/
11,CAPEMISA,Consultoría,https://capemisa.com.ar/socio/gestion-de-talentos-sas/
12,CMS,Minería,https://cmsalta.com.ar/asociados/grupo-nioi-sa/
12,CAPEMISA,Construcción,https://capemisa.com.ar/socio/grupo-nioi/
12,CAPEMISA,Geomembrana,https://capemisa.com.ar/socio/grupo-nioi/
12,CAPEMISA,Topografía,https://capemisa.com.ar/socio/grupo-nioi/
13,CMS,Minería,https://cmsalta.com.ar/asociados/hanaq-group/
14,CMS,Minería,https://cmsalta.com.ar/asociados/hidrotec-srl/
14,CAPEMISA,Perforaciones,https://capemisa.com.ar/socio/hidrotec-srl/
15,CMS,Minería,https://cmsalta.com.ar/asociados/hubaide-bohm-asociados/
16,CMS,Minería,https://cmsalta.com.ar/asociados/lithium-americas-proyecto-pastos-grandes/
17,CMS,Minería,https://cmsalta.com.ar/asociados/litica-resources-proyecto-pozuelos/
18,CMS,Minería,https://cmsalta.com.ar/asociados/mansfield-minera-s-a-mina-lindero/
19,CMS,Minería,https://cmsalta.com.ar/asociados/manufactura-de-los-andes-s-a/
20,CMS,Minería,https://cmsalta.com.ar/asociados/minera-santa-rita-s-a/
21,CMS,Minería,https://cmsalta.com.ar/asociados/noa-lithium-brines-s-a/
22,CMS,Minería,https://cmsalta.com.ar/asociados/posco-argentina-sau-proyecto-sal-de-oro/
23,CMS,Minería,https://cmsalta.com.ar/asociados/potasio-y-litio-de-argentina-s-a/
24,CMS,Minería,https://cmsalta.com.ar/asociados/ramon-nunez/
25,CMS,Minería,https://cmsalta.com.ar/asociados/remsa-s-a/
26,CMS,Minería,https://cmsalta.com.ar/asociados/rio-tinto-proyecto-rincon/
27,CMS,Minería,https://cmsalta.com.ar/asociados/silex-argentina-sa-proyecto-el-quevar/
28,CMS,Minería,https://cmsalta.com.ar/asociados/southern-cross-minerals/
29,CMS,Minería,https://cmsalta.com.ar/asociados/tamar-mining-s-a/
30,CAPEMISA,Alquiler de vehículos,https://capemisa.com.ar/socio/biotec-s-r-l/
30,CAPEMISA,Construcción,https://capemisa.com.ar/socio/biotec-s-r-l/
30,CAPEMISA,Logística,https://capemisa.com.ar/socio/biotec-s-r-l/
31,CAPEMISA,Alquiler de vehículos,https://capemisa.com.ar/socio/cactus-s-r-l/
32,CAPEMISA,Alquiler de vehículos,https://capemisa.com.ar/socio/carbian/
33,CAPEMISA,Alquiler de vehículos,https://capemisa.com.ar/socio/control-andina-s-a-s/
33,CAPEMISA,Equipamiento,https://capemisa.com.ar/socio/control-andina-s-a-s/
34,CAPEMISA,Alquiler de vehículos,https://capemisa.com.ar/socio/dff-s-r-l/
35,CAPEMISA,Alquiler de vehículos,https://capemisa.com.ar/socio/dinatec-group-s-a-s/
36,CAPEMISA,Alquiler de vehículos,https://capemisa.com.ar/socio/enfocer-s-a-s/
37,CAPEMISA,Alquiler de vehículos,https://capemisa.com.ar/socio/imex-s-a/
37,CAPEMISA,Ingeniería,https://capemisa.com.ar/socio/imex-s-a/
37,CAPEMISA,Insumos,https://capemisa.com.ar/socio/imex-s-a/
37,CAPEMISA,Logística,https://capemisa.com.ar/socio/imex-s-a/
37,UIS,Empresa de servicios,https://uis.com.ar/socios/imex-s-a/
38,CAPEMISA,Alquiler de vehículos,https://capemisa.com.ar/socio/m-m-minning-and-construction-service/
39,CAPEMISA,Alquiler de vehículos,https://capemisa.com.ar/socio/mgm-group-s-r-l/
39,CAPEMISA,Insumos,https://capemisa.com.ar/socio/mgm-group-s-r-l/
40,CAPEMISA,Alquiler de vehículos,https://capemisa.com.ar/socio/mobi-s-a-s/
41,CAPEMISA,Alquiler de vehículos,https://capemisa.com.ar/socio/nuna-s-a-s/
42,CAPEMISA,Alquiler de vehículos,https://capemisa.com.ar/socio/rolcar-s-a/
42,CAPEMISA,Equipamiento,https://capemisa.com.ar/socio/rolcar-s-a/
43,CAPEMISA,Alquiler de vehículos,https://capemisa.com.ar/socio/yaretas-insumos-servicios/
44,CAPEMISA,Catering,https://capemisa.com.ar/socio/alimentacion-saludable-s-r-l/
45,CAPEMISA,Catering,https://capemisa.com.ar/socio/building-s-r-l/
46,CAPEMISA,Catering,https://capemisa.com.ar/socio/catering-andino/
47,CAPEMISA,Catering,https://capemisa.com.ar/socio/catering-de-altura-s-a-s/
48,CAPEMISA,Catering,https://capemisa.com.ar/socio/catering-de-las-nubes-s-r-l/
49,CAPEMISA,Catering,https://capemisa.com.ar/socio/delight-s-r-l/
50,CAPEMISA,Catering,https://capemisa.com.ar/socio/el-huayra-s-a-s/
51,CAPEMISA,Catering,https://capemisa.com.ar/socio/ermaya-s-r-l/
52,CAPEMISA,Catering,https://capemisa.com.ar/socio/grupo-sierra-delta-s-r-l/
53,CAPEMISA,Catering,https://capemisa.com.ar/socio/la-estrella/
54,CAPEMISA,Catering,https://capemisa.com.ar/socio/servicios-andinos-s-r-l/
54,CAPEMISA,Logística,https://capemisa.com.ar/socio/servicios-andinos-s-r-l/
54,CAPEMISA,Servicios,https://capemisa.com.ar/socio/servicios-andinos-s-r-l/
55,CAPEMISA,Catering,https://capemisa.com.ar/socio/servicios-integrales-salta-srl/
55,CAPEMISA,Logística,https://capemisa.com.ar/socio/servicios-integrales-salta-srl/
56,CAPEMISA,Comunicaciones,https://capemisa.com.ar/socio/4instal-s-a-s/
57,CAPEMISA,Comunicaciones,https://capemisa.com.ar/socio/comtec/
58,CAPEMISA,Comunicaciones,https://capemisa.com.ar/socio/ecin-soluciones-s-r-l/
58,CAPEMISA,Equipamiento,https://capemisa.com.ar/socio/ecin-soluciones-s-r-l/
58,CAPEMISA,Seguridad,https://capemisa.com.ar/socio/ecin-soluciones-s-r-l/
59,CAPEMISA,Comunicaciones,https://capemisa.com.ar/socio/nubicom-s-r-l/
60,CAPEMISA,Comunicaciones,https://capemisa.com.ar/socio/rq-servicios-telecomunicaciones/
61,CAPEMISA,Comunicaciones,https://capemisa.com.ar/socio/seinoa-srl/
62,CAPEMISA,Comunicaciones,https://capemisa.com.ar/socio/sic-comunicaciones/
63,CAPEMISA,Consultoría,https://capemisa.com.ar/socio/analytics-noa/
64,CAPEMISA,Consultoría,https://capemisa.com.ar/socio/arganaraz-y-asociados/
64,CAPEMISA,Logística,https://capemisa.com.ar/socio/arganaraz-y-asociados/
65,CAPEMISA,Consultoría,https://capemisa.com.ar/socio/asset-s-r-l/
66,CAPEMISA,Consultoría,https://capemisa.com.ar/socio/bayton-sa/
67,CAPEMISA,Consultoría,https://capemisa.com.ar/socio/berge-bau-patagonia-sa/
68,CAPEMISA,Consultoría,https://capemisa.com.ar/socio/campo-bravo-s-a-s/
69,CAPEMISA,Consultoría,https://capemisa.com.ar/socio/capital-humano-salta/
70,CAPEMISA,Consultoría,https://capemisa.com.ar/socio/cataldi-fleming-ernesto/
71,CAPEMISA,Consultoría,https://capemisa.com.ar/socio/claudio-devita-consultores-en-abastecimientos/
72,CAPEMISA,Consultoría,https://capemisa.com.ar/socio/consultora-integral-en-liderazgo/
73,CAPEMISA,Consultoría,https://capemisa.com.ar/socio/ec-y-asociados-consultora-juridico-ambiental-srl/
74,CAPEMISA,Consultoría,https://capemisa.com.ar/socio/eco-puna-s-a/
75,CAPEMISA,Consultoría,https://capemisa.com.ar/socio/finex-s-a/
76,CAPEMISA,Consultoría,https://capemisa.com.ar/socio/hr-people-impact-s-a-s/
77,CAPEMISA,Consultoría,https://capemisa.com.ar/socio/laboratorio-bioagronort-salta-s-r-l/
78,CAPEMISA,Consultoría,https://capemisa.com.ar/socio/nuevas-energias/
78,CAPEMISA,Construcción,https://capemisa.com.ar/socio/nuevas-energias/
78,CAPEMISA,Energía,https://capemisa.com.ar/socio/nuevas-energias/
78,CAPEMISA,Equipamiento,https://capemisa.com.ar/socio/nuevas-energias/
78,CAPEMISA,Ingeniería,https://capemisa.com.ar/socio/nuevas-energias/
79,CAPEMISA,Consultoría,https://capemisa.com.ar/socio/precyt-servicios-s-r-l/
80,CAPEMISA,Consultoría,https://capemisa.com.ar/socio/quanta-s-a-s/
81,CAPEMISA,Consultoría,https://capemisa.com.ar/socio/saltapetrol-srl/
81,UIS,Ind. Química,https://uis.com.ar/socios/saltapetrol-srl/
82,CAPEMISA,Consultoría,https://capemisa.com.ar/socio/specterman-marcos-gustavo/
83,CAPEMISA,Consultoría,https://capemisa.com.ar/socio/sr-consultora/
84,CAPEMISA,Consultoría,https://capemisa.com.ar/socio/srk-consulting-argentina-s-a/
85,CAPEMISA,Consultoría,https://capemisa.com.ar/socio/tuareg-s-r-l/
86,CAPEMISA,Consultoría,https://capemisa.com.ar/socio/xi-latam-s-a-s/
87,CAPEMISA,Construcción,https://capemisa.com.ar/socio/3a-s-r-l/
88,CAPEMISA,Construcción,https://capemisa.com.ar/socio/ancris-s-r-l/
89,CAPEMISA,Construcción,https://capemisa.com.ar/socio/bbc-mineria-s-a/
90,CAPEMISA,Construcción,https://capemisa.com.ar/socio/beton-s-r-l/
91,CAPEMISA,Construcción,https://capemisa.com.ar/socio/bmi-s-a/
92,CAPEMISA,Construcción,https://capemisa.com.ar/socio/ce-y-ba-s-r-l/
92,CAPEMISA,Equipamiento,https://capemisa.com.ar/socio/ce-y-ba-s-r-l/
93,CAPEMISA,Construcción,https://capemisa.com.ar/socio/conevial-s-r-l/
94,CAPEMISA,Construcción,https://capemisa.com.ar/socio/cyl-s-r-l/
95,CAPEMISA,Construcción,https://capemisa.com.ar/socio/daber-servicios-industriales-s-r-l/
95,CAPEMISA,Ingeniería,https://capemisa.com.ar/socio/daber-servicios-industriales-s-r-l/
95,CAPEMISA,Servicios,https://capemisa.com.ar/socio/daber-servicios-industriales-s-r-l/
96,CAPEMISA,Construcción,https://capemisa.com.ar/socio/imec-ingeniria-s-r-l/
97,CAPEMISA,Construcción,https://capemisa.com.ar/socio/imeca-s-r-l/
98,CAPEMISA,Construcción,https://capemisa.com.ar/socio/indasa-s-a/
98,CAPEMISA,Ingeniería,https://capemisa.com.ar/socio/indasa-s-a/
98,CAPEMISA,Servicios,https://capemisa.com.ar/socio/indasa-s-a/
99,CAPEMISA,Construcción,https://capemisa.com.ar/socio/invlac-construcciones-s-r-l/
100,CAPEMISA,Construcción,https://capemisa.com.ar/socio/juan-pedro-garin-construcciones-s-a/
101,CAPEMISA,Construcción,https://capemisa.com.ar/socio/kajai-s-a/
102,CAPEMISA,Construcción,https://capemisa.com.ar/socio/ludrox-s-a-s/
103,CAPEMISA,Construcción,https://capemisa.com.ar/socio/made-s-r-l/
104,CAPEMISA,Construcción,https://capemisa.com.ar/socio/mega-s-r-l/
105,CAPEMISA,Construcción,https://capemisa.com.ar/socio/molca-s-r-l/
105,UIS,Ind. Varias,https://uis.com.ar/socios/molca-s-r-l/
106,CAPEMISA,Construcción,https://capemisa.com.ar/socio/mp-mineria-positiva-s-r-l/
107,CAPEMISA,Construcción,https://capemisa.com.ar/socio/neca-s-r-l/
108,CAPEMISA,Construcción,https://capemisa.com.ar/socio/neobox-construccion-modular/
108,CAPEMISA,Equipamiento,https://capemisa.com.ar/socio/neobox-construccion-modular/
108,CAPEMISA,Servicios,https://capemisa.com.ar/socio/neobox-construccion-modular/
109,CAPEMISA,Construcción,https://capemisa.com.ar/socio/oscar-zoricich/
110,CAPEMISA,Construcción,https://capemisa.com.ar/socio/pascha-s-r-l/
111,CAPEMISA,Construcción,https://capemisa.com.ar/socio/rm-del-norte-s-r-l/
111,CAPEMISA,Geomembrana,https://capemisa.com.ar/socio/rm-del-norte-s-r-l/
112,CAPEMISA,Construcción,https://capemisa.com.ar/socio/saltapor-s-r-l/
113,CAPEMISA,Construcción,https://capemisa.com.ar/socio/solid-md-s-r-l/
113,CAPEMISA,Ingeniería,https://capemisa.com.ar/socio/solid-md-s-r-l/
113,CAPEMISA,Topografía,https://capemisa.com.ar/socio/solid-md-s-r-l/
114,CAPEMISA,Construcción,https://capemisa.com.ar/socio/todo-obras-s-r-l/
114,CAPEMISA,Energía,https://capemisa.com.ar/socio/todo-obras-s-r-l/
114,CAPEMISA,Insumos,https://capemisa.com.ar/socio/todo-obras-s-r-l/
115,CAPEMISA,Construcción,https://capemisa.com.ar/socio/tresing-s-r-l/
116,CAPEMISA,Construcción,https://capemisa.com.ar/socio/zatec-soluciones-s-a-s/
117,CAPEMISA,Energía,https://capemisa.com.ar/socio/bosch-s-r-l/
118,CAPEMISA,Energía,https://capemisa.com.ar/socio/energia-infinita/
118,CAPEMISA,Servicios,https://capemisa.com.ar/socio/ergy/
119,CAPEMISA,Equipamiento,https://capemisa.com.ar/socio/alto-andina-soluciones-modulares/
120,CAPEMISA,Equipamiento,https://capemisa.com.ar/socio/amarela-s-a/
121,CAPEMISA,Equipamiento,https://capemisa.com.ar/socio/antonio-b-atenor-e-hijos-s-r-l/
121,CAPEMISA,Insumos,https://capemisa.com.ar/socio/antonio-b-atenor-e-hijos-s-r-l/
121,CAPEMISA,Servicios,https://capemisa.com.ar/socio/antonio-b-atenor-e-hijos-s-r-l/
122,CAPEMISA,Equipamiento,https://capemisa.com.ar/socio/arizaro-industria-y-servicio-by-duo-s-r-l/
122,CAPEMISA,Ingeniería,https://capemisa.com.ar/socio/arizaro-industria-y-servicio-by-duo-s-r-l/
122,CAPEMISA,Insumos,https://capemisa.com.ar/socio/arizaro-industria-y-servicio-by-duo-s-r-l/
123,CAPEMISA,Equipamiento,https://capemisa.com.ar/socio/arq-top-s-r-l/
123,CAPEMISA,Topografía,https://capemisa.com.ar/socio/arq-top-s-r-l/
124,CAPEMISA,Equipamiento,https://capemisa.com.ar/socio/autolux-s-a/
125,CAPEMISA,Equipamiento,https://capemisa.com.ar/socio/big-north-argentina/
