id,parque_id,numero,superficie_m2
1,2,,
2,2,,
3,2,,
4,2,,
5,2,,
6,2,,
7,2,,
8,2,,
9,2,,
10,2,,
11,2,,
12,2,,
13,2,,
14,2,,
15,2,,
16,2,,
17,2,,
18,2,,
19,2,,
20,2,,
21,2,,
22,2,,
23,2,,
24,2,,
25,2,,
26,2,,
27,2,,
28,2,,
29,2,,
30,2,,
31,2,,
32,2,,
33,2,,
34,2,,
35,2,,
36,2,,
37,2,,
38,2,,
39,2,,
40,2,,
41,2,,
42,2,,
43,2,,
44,2,,
45,2,,
46,2,,
47,2,,
48,2,,
49,2,,
50,2,,
51,2,,
52,2,,
53,1,103,17743.36
54,1,73,9360.5
55,1,105,4257
56,1,118,6849.33
57,1,24,8702.47
58,1,29,9418
59,1,56,2000
60,1,82,3085
61,1,135,6955.2
62,1,50,4263.16
63,1,131,10735.57
64,1,41,2530.02
65,1,119,2000
66,1,93,8025.68
67,1,18,14713.26
68,1,102,8684.21
69,1,117,1000
70,1,88,71600.9
71,1,64,9175.82
72,1,1,163322.75
73,1,141,7228.59
74,1,122,3132
75,1,100,40406.38
76,1,10,5500
77,1,61,7347.64
78,1,43,2807
79,1,112,6000
80,1,110,13494.58
81,1,90,97482.86
82,1,108,4750
83,1,31,2249.85
84,1,74,4460.63
85,1,27,3500
86,1,59,4052.39
87,1,32,3573.16
88,1,36,2938.52
89,1,35,2798
90,1,128,1195.71
91,1,114,4532
92,1,101,4734.81
93,1,140,2500.16
94,1,107,0
95,1,145,7342.24
96,1,133,4998.03
97,1,78,3006.77
98,1,68,5933
99,1,89,10001
100,1,52,5752
101,1,121,2008
102,1,46,10123.9
103,1,33,5000
104,1,48,1454
105,1,80,1551.24
106,1,97,15849
107,1,12,0
108,1,99,0
109,1,67,7308.43
110,1,63,4890.4
111,1,55,1681
112,1,45,0
113,1,44,5005.26
114,1,42,0
115,1,91,9334.76
116,1,84,21872.23
117,1,92,1318
118,1,20,9997.9
119,1,143,4188.14
120,1,71,0
121,1,72,3000
122,1,39,2938.57
123,1,75,5525.52
124,1,66,7066.21
125,1,79,2051.62
126,1,49,2908
127,1,120,1999.77
128,1,7,1000.18
129,1,146,3928.08
130,1,83,3017.65
131,1,40,11493.78
132,1,23,5051.73
133,1,136,1552.4
134,1,98,14393.18
135,1,134,6251.95
136,1,96,5275.23
137,1,53,1681
138,1,115,5000
139,1,127,77867.78
140,1,132,6761.68
141,1,26,4820.91
142,1,13,0
143,1,22,7897.38
144,1,11,3309
145,1,25,8004.07
146,1,6,6992.67
147,1,94,11330.05
148,1,139,0
149,1,138,15157.08
150,1,28,3115.24
151,1,37,7000
152,1,34,0
153,1,142,2466.54
154,1,19,5178
155,1,126,27913.59
156,1,129,4465
157,1,76,5000.18
158,1,77,3006.77
159,1,38,2739.39
160,1,125,69188
161,1,17,4955.56
162,1,81,7994.64
163,1,65,5637
164,1,85,15981.04
165,1,16,35850.6
166,1,69,6380
167,1,21,12643.03
168,1,106,0
169,1,70,2824.37
170,1,2,19646.38
171,1,111,0
172,1,113,28111.86
